Timestamp,Age Group,Gender,Preferred Tool,Satisfaction,Feedback
2026-04-09 18:13:34,35-44,Male,R,3,Needs better UI.
2026-04-11 15:09:34,18-24,Female,Python,5,"Great tool, highly recommended!"
2026-03-22 21:26:34,18-24,Female,Power BI,5,I love the open source community.
2026-03-28 05:49:34,35-44,Female,Python,5,Very useful for my job.
2026-04-12 04:33:34,35-44,Male,Excel,3,Needs better UI.
2026-03-23 03:18:34,35-44,Female,Power BI,4,Best tool on the market.
2026-04-14 16:58:34,45+,Female,Tableau,1,Needs better UI.
2026-04-07 01:05:34,35-44,Female,Python,5,"Great tool, highly recommended!"
2026-04-10 23:01:34,35-44,Non-Binary,R,3,Needs better UI.
2026-04-01 23:41:34,35-44,Male,Excel,4,Steep learning curve.
2026-04-10 23:56:34,18-24,Female,R,1,Steep learning curve.
2026-03-26 05:36:34,35-44,Non-Binary,Power BI,5,Steep learning curve.
2026-04-11 02:05:34,18-24,Male,Python,5,Could be faster.
2026-04-01 23:16:34,25-34,Female,Power BI,4,Could be faster.
2026-03-27 11:43:34,45+,Female,Tableau,2,Steep learning curve.
2026-03-28 19:27:34,35-44,Female,Tableau,2,Basic features are lacking.
2026-03-31 22:20:34,45+,Male,Python,4,Needs better UI.
2026-03-25 11:22:34,45+,Female,Tableau,3,I love the open source community.
2026-04-09 05:45:34,35-44,Non-Binary,Python,4,Needs better UI.
2026-04-11 09:00:34,35-44,Female,Excel,3,Needs better UI.
2026-03-30 04:22:34,45+,Male,Excel,4,Very useful for my job.
2026-04-05 19:07:34,35-44,Female,Power BI,4,Steep learning curve.
2026-03-25 03:00:34,25-34,Female,Power BI,4,"Great tool, highly recommended!"
2026-04-09 01:43:34,18-24,Male,Excel,3,Best tool on the market.
2026-03-27 16:27:34,18-24,Male,Tableau,3,Needs better UI.
2026-04-14 09:01:34,25-34,Male,Tableau,4,Very useful for my job.
2026-03-29 08:07:34,45+,Non-Binary,Power BI,4,Steep learning curve.
2026-04-12 00:37:34,35-44,Male,Power BI,5,Basic features are lacking.
2026-03-23 22:26:34,18-24,Male,Power BI,5,Steep learning curve.
2026-04-07 22:12:34,18-24,Female,Python,3,Steep learning curve.
2026-03-22 17:07:34,35-44,Male,R,3,Best tool on the market.
2026-04-11 06:25:34,25-34,Female,Power BI,4,Basic features are lacking.
2026-03-28 07:03:34,45+,Male,Python,3,I love the open source community.
2026-04-01 04:38:34,45+,Female,Python,5,Needs better UI.
2026-03-22 03:58:34,35-44,Female,Python,5,Steep learning curve.
2026-03-26 21:46:34,45+,Male,R,4,Best tool on the market.
2026-04-03 23:07:34,18-24,Male,Power BI,4,Needs better UI.
2026-03-22 11:46:34,18-24,Non-Binary,R,1,Steep learning curve.
2026-04-03 06:42:34,25-34,Female,Python,5,Very useful for my job.
2026-04-01 15:36:34,35-44,Female,Tableau,3,Best tool on the market.
2026-04-03 13:58:34,45+,Male,Excel,3,Steep learning curve.
2026-04-19 16:49:34,18-24,Female,Python,4,"Great tool, highly recommended!"
2026-04-08 06:44:34,25-34,Male,Power BI,3,Needs better UI.
2026-04-16 20:16:34,18-24,Female,R,5,I love the open source community.
2026-03-24 09:27:34,18-24,Female,Tableau,2,Could be faster.
2026-04-18 23:25:34,35-44,Male,Tableau,3,Very useful for my job.
2026-04-11 11:31:34,45+,Male,Python,4,"Great tool, highly recommended!"
2026-04-04 10:48:34,18-24,Male,R,3,Best tool on the market.
2026-03-25 03:08:34,18-24,Female,Excel,4,Best tool on the market.
2026-03-26 06:05:34,35-44,Female,Power BI,4,"Great tool, highly recommended!"
2026-04-11 08:31:34,18-24,Female,R,5,Best tool on the market.
2026-03-23 18:59:34,25-34,Male,Power BI,5,Steep learning curve.
2026-04-12 01:25:34,35-44,Female,Excel,5,"Great tool, highly recommended!"
2026-03-23 11:39:34,35-44,Male,Excel,5,Very useful for my job.
2026-04-09 23:22:34,45+,Female,Tableau,3,"Great tool, highly recommended!"
2026-03-23 18:08:34,25-34,Female,Excel,5,Very useful for my job.
2026-04-02 19:14:34,35-44,Male,Python,3,Could be faster.
2026-03-27 12:27:34,18-24,Male,Power BI,4,I love the open source community.
2026-04-09 14:21:34,25-34,Female,R,1,Basic features are lacking.
2026-03-20 20:59:34,35-44,Female,Tableau,3,Steep learning curve.
2026-03-28 21:02:34,18-24,Male,Python,4,Basic features are lacking.
2026-03-27 22:04:34,45+,Male,R,2,Steep learning curve.
2026-03-21 12:24:34,45+,Male,Python,5,Best tool on the market.
2026-04-01 11:44:34,45+,Female,Power BI,4,Could be faster.
2026-04-19 15:19:34,35-44,Male,Excel,3,"Great tool, highly recommended!"
2026-03-24 10:39:34,35-44,Female,Excel,4,I love the open source community.
2026-04-09 07:19:34,45+,Female,R,2,Could be faster.
2026-03-22 13:39:34,18-24,Female,Power BI,5,Steep learning curve.
2026-04-01 04:16:34,35-44,Female,Python,3,Best tool on the market.
2026-04-06 00:54:34,45+,Male,Excel,5,Very useful for my job.
2026-03-27 04:54:34,45+,Female,R,4,Best tool on the market.
2026-04-02 09:05:34,18-24,Male,R,2,Basic features are lacking.
2026-04-15 09:50:34,35-44,Male,Tableau,1,Steep learning curve.
2026-04-06 07:02:34,25-34,Female,Excel,5,Could be faster.
2026-03-22 22:55:34,35-44,Male,R,4,Very useful for my job.
2026-03-20 16:27:34,45+,Female,Python,5,Basic features are lacking.
2026-04-03 11:48:34,25-34,Female,Tableau,4,Basic features are lacking.
2026-04-01 22:21:34,18-24,Female,Python,3,I love the open source community.
2026-03-27 21:03:34,45+,Male,R,3,Needs better UI.
2026-04-03 20:03:34,45+,Female,Power BI,4,Could be faster.
2026-04-20 05:51:34,45+,Female,Power BI,5,Basic features are lacking.
2026-04-17 20:59:34,45+,Male,R,3,Best tool on the market.
2026-04-14 07:43:34,25-34,Male,Python,4,Best tool on the market.
2026-03-27 23:33:34,35-44,Female,Python,3,Very useful for my job.
2026-03-24 22:36:34,25-34,Female,Python,4,I love the open source community.
2026-04-03 01:46:34,45+,Male,R,3,I love the open source community.
2026-04-02 09:56:34,18-24,Female,Power BI,5,I love the open source community.
2026-04-04 15:34:34,35-44,Female,Tableau,3,Steep learning curve.
2026-04-04 22:29:34,45+,Female,Tableau,4,Could be faster.
2026-04-11 13:03:34,45+,Female,Tableau,3,Very useful for my job.
2026-04-09 08:13:34,45+,Female,Python,4,Needs better UI.
2026-04-10 04:20:34,45+,Male,Excel,4,I love the open source community.
2026-03-30 21:41:34,35-44,Male,Tableau,4,Best tool on the market.
2026-04-14 04:28:34,18-24,Male,Power BI,5,"Great tool, highly recommended!"
2026-04-20 02:26:34,18-24,Female,Python,5,"Great tool, highly recommended!"
2026-04-19 22:24:34,18-24,Female,R,3,Very useful for my job.
2026-04-05 12:19:34,25-34,Male,Excel,4,Could be faster.
2026-03-26 10:50:34,18-24,Female,R,3,Best tool on the market.
2026-03-24 09:13:34,35-44,Female,Tableau,1,Basic features are lacking.
2026-04-20 13:24:34,18-24,Female,R,2,Needs better UI.
2026-04-12 01:06:34,18-24,Female,Power BI,3,"Great tool, highly recommended!"
2026-04-01 08:39:34,35-44,Male,Excel,4,"Great tool, highly recommended!"
2026-04-17 05:04:34,45+,Male,Excel,3,Basic features are lacking.
2026-04-11 19:39:34,25-34,Female,Excel,4,Basic features are lacking.
2026-04-04 05:04:34,35-44,Male,R,5,Needs better UI.
2026-03-29 05:27:34,45+,Female,Tableau,2,Could be faster.
2026-03-21 07:06:34,35-44,Male,R,3,Could be faster.
2026-04-14 23:33:34,35-44,Female,Excel,4,"Great tool, highly recommended!"
2026-04-05 21:17:34,25-34,Female,Tableau,2,Steep learning curve.
2026-04-12 06:53:34,45+,Male,Python,3,Needs better UI.
2026-03-29 22:37:34,25-34,Male,Power BI,4,Could be faster.
2026-04-05 08:45:34,35-44,Male,Power BI,4,Could be faster.
2026-04-01 13:41:34,35-44,Male,R,5,Needs better UI.
2026-04-12 21:32:34,18-24,Female,R,4,Steep learning curve.
2026-03-27 14:42:34,35-44,Female,Power BI,5,Best tool on the market.
2026-03-23 21:30:34,25-34,Male,Excel,5,"Great tool, highly recommended!"
2026-04-12 08:20:34,35-44,Male,Python,5,Best tool on the market.
2026-04-11 19:52:34,45+,Male,Python,4,Best tool on the market.
2026-04-05 06:40:34,35-44,Male,Python,5,Best tool on the market.
2026-04-20 06:19:34,18-24,Male,Python,5,"Great tool, highly recommended!"
2026-03-24 20:03:34,35-44,Male,R,4,Needs better UI.
2026-04-07 04:50:34,25-34,Female,Tableau,4,Basic features are lacking.
2026-04-19 05:31:34,45+,Male,Power BI,4,"Great tool, highly recommended!"
2026-04-09 14:18:34,25-34,Female,Excel,3,Needs better UI.
2026-03-25 22:23:34,18-24,Male,Tableau,2,Basic features are lacking.
2026-04-12 10:42:34,35-44,Male,Excel,4,Best tool on the market.
2026-04-12 05:16:34,25-34,Female,Power BI,5,Steep learning curve.
2026-04-02 18:46:34,25-34,Female,Excel,5,Very useful for my job.
2026-03-22 16:22:34,35-44,Female,Power BI,3,Best tool on the market.
2026-04-03 18:41:34,35-44,Female,Excel,4,Basic features are lacking.
2026-04-03 17:50:34,18-24,Female,Excel,4,Best tool on the market.
2026-03-20 17:26:34,18-24,Non-Binary,Excel,3,"Great tool, highly recommended!"
2026-04-13 20:42:34,45+,Female,R,2,Basic features are lacking.
2026-04-10 06:17:34,45+,Male,Excel,3,Could be faster.
2026-04-10 19:06:34,25-34,Male,Tableau,5,Best tool on the market.
2026-04-11 04:04:34,18-24,Male,Excel,3,Best tool on the market.
2026-03-30 19:01:34,45+,Female,Python,5,Basic features are lacking.
2026-04-02 16:24:34,35-44,Female,Tableau,4,Basic features are lacking.
2026-04-13 16:25:34,35-44,Female,Excel,3,Basic features are lacking.
2026-04-18 13:43:34,18-24,Male,Power BI,5,Steep learning curve.
2026-04-11 20:31:34,18-24,Female,Python,5,Steep learning curve.
2026-04-15 18:41:34,18-24,Female,R,2,Basic features are lacking.
2026-04-19 13:30:34,35-44,Male,Tableau,3,Basic features are lacking.
2026-03-28 05:47:34,25-34,Male,Power BI,4,Very useful for my job.
2026-04-16 17:29:34,45+,Male,Power BI,4,Best tool on the market.
2026-04-15 15:30:34,35-44,Female,Power BI,3,Basic features are lacking.
2026-04-16 19:40:34,45+,Male,Power BI,5,I love the open source community.
2026-04-04 02:07:34,25-34,Non-Binary,R,3,I love the open source community.
2026-03-28 04:14:34,35-44,Female,Tableau,1,Basic features are lacking.
2026-04-11 11:21:34,45+,Non-Binary,R,2,Could be faster.
2026-04-16 19:07:34,45+,Male,Tableau,5,"Great tool, highly recommended!"
2026-04-12 19:38:34,25-34,Male,Excel,3,Could be faster.
2026-04-09 13:37:34,18-24,Female,Power BI,4,I love the open source community.
2026-04-20 01:52:34,45+,Female,Python,4,Needs better UI.
2026-03-28 11:55:34,35-44,Non-Binary,Python,5,I love the open source community.
2026-03-24 11:57:34,18-24,Male,Excel,3,"Great tool, highly recommended!"
2026-03-22 02:02:34,18-24,Male,Excel,4,I love the open source community.
2026-03-24 22:45:34,45+,Female,R,4,Very useful for my job.
2026-03-25 17:51:34,45+,Female,R,2,Basic features are lacking.
2026-04-19 09:21:34,25-34,Male,Excel,4,Basic features are lacking.
2026-03-29 12:12:34,45+,Female,Power BI,4,Very useful for my job.
2026-03-23 05:34:34,35-44,Female,Tableau,3,Best tool on the market.
2026-04-04 00:24:34,45+,Female,Python,5,Steep learning curve.
2026-04-02 09:34:34,35-44,Non-Binary,Excel,4,"Great tool, highly recommended!"
2026-04-16 12:37:34,35-44,Male,Python,3,Basic features are lacking.
2026-04-16 01:01:34,25-34,Female,Excel,5,Steep learning curve.
2026-04-09 21:51:34,35-44,Female,R,3,Needs better UI.
2026-04-18 11:53:34,18-24,Male,Tableau,2,Needs better UI.
2026-04-08 02:58:34,25-34,Male,Excel,2,Could be faster.
2026-04-13 04:23:34,25-34,Male,Power BI,5,Could be faster.
2026-04-06 08:10:34,35-44,Female,Excel,4,Basic features are lacking.
2026-04-20 00:59:34,35-44,Female,Tableau,1,Needs better UI.
2026-03-24 23:07:34,45+,Non-Binary,Power BI,5,Could be faster.
2026-03-23 03:12:34,35-44,Female,Tableau,2,Could be faster.
2026-04-11 14:55:34,35-44,Female,Excel,4,Needs better UI.
2026-04-10 22:42:34,18-24,Female,Power BI,4,Could be faster.
2026-04-19 10:26:34,18-24,Female,Tableau,3,Best tool on the market.
2026-04-10 04:19:34,25-34,Male,Python,4,Best tool on the market.
2026-04-04 18:18:34,25-34,Female,R,5,I love the open source community.
2026-04-04 02:54:34,45+,Female,R,2,Basic features are lacking.
2026-04-09 19:05:34,45+,Female,Excel,3,"Great tool, highly recommended!"
2026-04-12 02:25:34,45+,Male,R,2,Could be faster.
2026-03-24 12:35:34,35-44,Male,Excel,5,Steep learning curve.
2026-04-19 19:06:34,45+,Male,R,4,"Great tool, highly recommended!"
2026-03-22 01:27:34,25-34,Female,R,2,Needs better UI.
2026-04-16 08:25:34,25-34,Female,R,3,Could be faster.
2026-04-13 20:02:34,18-24,Male,R,4,Very useful for my job.
2026-04-07 00:03:34,25-34,Male,Python,5,Very useful for my job.
2026-03-21 03:02:34,25-34,Female,Python,5,Very useful for my job.
2026-03-28 16:20:34,45+,Female,Python,4,Basic features are lacking.
2026-04-04 02:44:34,18-24,Male,R,1,Needs better UI.
2026-04-13 12:45:34,35-44,Male,Python,5,"Great tool, highly recommended!"
2026-04-05 03:39:34,18-24,Female,Tableau,5,Needs better UI.
2026-04-17 17:32:34,25-34,Male,Excel,4,Could be faster.
2026-04-02 10:45:34,35-44,Male,Power BI,4,I love the open source community.
2026-03-24 13:19:34,25-34,Male,R,3,I love the open source community.
2026-03-31 05:37:34,45+,Female,Excel,4,I love the open source community.
2026-03-31 12:28:34,35-44,Female,Tableau,4,Needs better UI.
2026-03-22 17:17:34,45+,Male,Excel,5,Very useful for my job.
2026-04-06 16:49:34,35-44,Female,Tableau,4,Could be faster.
2026-04-17 13:00:34,45+,Female,Python,5,Best tool on the market.
2026-04-09 00:34:34,18-24,Female,R,1,Steep learning curve.
2026-04-11 06:26:34,18-24,Male,Power BI,4,Could be faster.
2026-03-23 23:48:34,25-34,Female,Power BI,5,"Great tool, highly recommended!"
2026-04-09 13:05:34,35-44,Male,Excel,4,Best tool on the market.
2026-04-19 01:34:34,18-24,Male,R,1,Basic features are lacking.
2026-03-22 19:59:34,18-24,Male,Power BI,4,Steep learning curve.
2026-04-02 04:41:34,35-44,Male,Excel,4,Could be faster.
2026-04-14 09:50:34,18-24,Female,R,1,Steep learning curve.
2026-04-14 10:15:34,18-24,Male,Tableau,2,Basic features are lacking.
2026-04-09 05:38:34,35-44,Male,Power BI,5,Needs better UI.
2026-04-01 04:19:34,35-44,Female,Power BI,5,Basic features are lacking.
2026-04-06 12:31:34,18-24,Male,Power BI,5,"Great tool, highly recommended!"
2026-03-20 21:31:34,25-34,Female,Excel,3,Best tool on the market.
2026-03-30 18:12:34,45+,Female,R,4,Very useful for my job.
2026-04-02 08:57:34,25-34,Female,Excel,3,Needs better UI.
2026-04-02 14:14:34,45+,Male,Python,4,Could be faster.
2026-04-08 04:48:34,45+,Female,Tableau,4,Best tool on the market.
2026-03-24 03:13:34,35-44,Male,Power BI,5,Basic features are lacking.
2026-04-16 14:10:34,35-44,Male,Python,5,Steep learning curve.
2026-04-03 09:37:34,18-24,Male,Excel,4,Could be faster.
2026-03-28 02:01:34,25-34,Male,Python,5,Steep learning curve.
2026-04-18 02:34:34,25-34,Male,R,1,Could be faster.
2026-03-26 20:50:34,25-34,Female,Python,4,Very useful for my job.
2026-04-20 11:43:34,45+,Female,Power BI,4,Basic features are lacking.
2026-04-11 09:53:34,35-44,Female,Excel,3,Very useful for my job.
2026-04-03 17:42:34,45+,Female,Excel,5,"Great tool, highly recommended!"
2026-04-01 07:16:34,35-44,Male,Python,4,"Great tool, highly recommended!"
2026-04-01 00:16:34,18-24,Female,Power BI,5,I love the open source community.
2026-04-04 09:47:34,18-24,Male,Power BI,5,Steep learning curve.
2026-03-31 10:42:34,25-34,Female,Tableau,4,Needs better UI.
2026-04-15 01:57:34,18-24,Female,R,3,"Great tool, highly recommended!"
2026-03-28 13:40:34,45+,Female,Power BI,5,Very useful for my job.
2026-04-01 03:10:34,35-44,Male,Excel,4,"Great tool, highly recommended!"
2026-04-15 11:53:34,35-44,Male,Python,4,I love the open source community.
2026-03-29 23:58:34,25-34,Male,Power BI,5,Very useful for my job.
2026-04-19 02:31:34,45+,Male,Python,4,Best tool on the market.
2026-04-07 03:53:34,35-44,Female,Power BI,3,Needs better UI.
2026-04-10 12:39:34,35-44,Male,Excel,4,Very useful for my job.
2026-04-19 21:33:34,45+,Male,R,2,Steep learning curve.
2026-03-23 01:06:34,18-24,Female,Power BI,5,"Great tool, highly recommended!"
2026-04-11 02:08:34,25-34,Female,R,5,Very useful for my job.
2026-03-26 14:01:34,25-34,Female,Python,5,I love the open source community.
2026-04-01 12:58:34,25-34,Non-Binary,Power BI,4,Best tool on the market.
2026-04-14 15:02:34,45+,Male,R,1,Could be faster.
2026-04-20 07:09:34,25-34,Male,Power BI,5,Basic features are lacking.
2026-04-04 01:01:34,45+,Female,Tableau,3,Very useful for my job.
2026-04-15 22:03:34,25-34,Female,Python,5,Basic features are lacking.
2026-04-17 02:47:34,18-24,Female,Power BI,5,Needs better UI.
2026-03-29 18:00:34,25-34,Male,Power BI,5,Very useful for my job.
2026-04-16 04:17:34,25-34,Female,Excel,3,"Great tool, highly recommended!"
2026-04-02 16:37:34,35-44,Male,Python,4,Could be faster.
2026-03-27 15:32:34,18-24,Female,Excel,5,Very useful for my job.
2026-03-24 16:30:34,45+,Female,R,3,Basic features are lacking.
2026-04-04 10:12:34,18-24,Male,R,2,Steep learning curve.
2026-04-07 14:50:34,45+,Male,Excel,4,Steep learning curve.
2026-03-29 18:15:34,25-34,Male,Power BI,5,Basic features are lacking.
2026-03-22 19:05:34,45+,Female,Python,5,Steep learning curve.
2026-04-11 19:30:34,45+,Male,Excel,4,Steep learning curve.
2026-04-08 04:23:34,18-24,Female,Excel,2,Needs better UI.
2026-04-20 07:46:34,18-24,Male,Tableau,3,"Great tool, highly recommended!"
2026-04-10 03:35:34,35-44,Female,Excel,5,Needs better UI.
2026-03-31 22:58:34,18-24,Female,Excel,3,Very useful for my job.
2026-03-22 02:46:34,35-44,Female,R,3,Basic features are lacking.
2026-04-12 06:52:34,25-34,Female,Python,5,Basic features are lacking.
2026-03-22 00:24:34,18-24,Female,Python,5,Could be faster.
2026-04-19 00:44:34,45+,Non-Binary,Power BI,5,Basic features are lacking.
2026-03-28 17:00:34,25-34,Male,Python,5,Could be faster.
2026-03-28 19:03:34,35-44,Male,Tableau,3,Basic features are lacking.
2026-04-18 03:33:34,25-34,Female,Tableau,2,Could be faster.
2026-04-19 07:29:34,18-24,Female,Python,5,I love the open source community.
2026-04-08 20:46:34,35-44,Male,Python,5,Could be faster.
2026-04-11 00:31:34,45+,Female,Tableau,4,Very useful for my job.
2026-04-12 05:34:34,45+,Male,Excel,5,I love the open source community.
2026-03-29 12:02:34,18-24,Male,Tableau,3,Could be faster.
2026-04-06 14:55:34,25-34,Female,R,3,Basic features are lacking.
2026-03-21 19:16:34,25-34,Female,Excel,4,Could be faster.
2026-04-02 09:14:34,25-34,Female,Excel,4,Could be faster.
2026-04-03 17:48:34,25-34,Female,Tableau,4,Could be faster.
2026-04-09 23:27:34,18-24,Male,R,4,Basic features are lacking.
2026-04-06 04:10:34,18-24,Male,Excel,5,Basic features are lacking.
2026-03-27 10:30:34,45+,Male,R,3,Needs better UI.
2026-04-03 21:09:34,45+,Non-Binary,Excel,3,Could be faster.
2026-04-11 17:47:34,35-44,Female,R,1,Steep learning curve.
2026-04-15 02:44:34,25-34,Male,R,3,Very useful for my job.
2026-03-28 06:13:34,35-44,Female,Excel,2,Basic features are lacking.
2026-04-15 08:20:34,18-24,Male,Tableau,3,Basic features are lacking.
2026-04-06 05:01:34,45+,Female,Python,5,Very useful for my job.
2026-03-31 11:16:34,45+,Male,Power BI,4,Could be faster.
2026-03-25 08:52:34,25-34,Female,R,3,I love the open source community.
2026-04-05 17:05:34,18-24,Female,Excel,2,Steep learning curve.
2026-03-26 02:11:34,25-34,Male,Power BI,3,Best tool on the market.
2026-04-16 17:28:34,25-34,Female,Power BI,5,Best tool on the market.
2026-03-25 11:31:34,18-24,Female,R,3,Very useful for my job.
2026-03-26 12:51:34,35-44,Female,Power BI,4,"Great tool, highly recommended!"
2026-04-15 15:17:34,18-24,Female,Power BI,5,Best tool on the market.
2026-04-09 22:01:34,45+,Female,Python,5,Basic features are lacking.
2026-04-18 11:46:34,35-44,Female,Excel,3,Basic features are lacking.
2026-03-28 12:37:34,35-44,Male,Python,5,Very useful for my job.
2026-04-04 04:42:34,45+,Male,Power BI,3,Very useful for my job.
2026-03-31 13:32:34,35-44,Non-Binary,R,1,Could be faster.
2026-04-06 08:18:34,35-44,Male,Python,5,Best tool on the market.
2026-04-03 22:21:34,18-24,Male,Tableau,3,I love the open source community.
2026-03-27 21:04:34,35-44,Female,Excel,4,Steep learning curve.
2026-04-13 20:43:34,45+,Female,Excel,4,Basic features are lacking.
2026-03-20 17:37:34,45+,Non-Binary,R,5,Could be faster.
2026-03-21 16:30:34,45+,Female,Tableau,3,Best tool on the market.
2026-04-06 16:06:34,18-24,Male,Excel,3,Could be faster.
2026-04-14 03:35:34,18-24,Male,Power BI,5,Steep learning curve.
2026-04-01 08:30:34,18-24,Male,Tableau,2,Could be faster.
2026-04-16 10:55:34,18-24,Male,Python,4,I love the open source community.
2026-04-01 01:47:34,35-44,Female,R,1,Basic features are lacking.
2026-04-05 16:14:34,18-24,Male,Excel,2,Basic features are lacking.
